datetime,channel,duration_min,audience,campaign,slot_cost,spent_total
2025-12-07T08:00:00,TV,30,8000,Centre Funding,500,3900.0
2025-12-07T08:00:00,Online,10,2000,Eco Project,50,1650.0
2025-12-07T08:00:00,Radio,15,4000,Eco Project,100,1650.0
2025-12-07T08:15:00,Online,10,2000,Eco Project,50,1650.0
2025-12-07T08:30:00,Online,10,2000,Eco Project,50,1650.0
2025-12-07T08:30:00,Radio,15,4500,Eco Project,100,1650.0
2025-12-07T08:45:00,Online,10,2000,Eco Project,50,1650.0
2025-12-07T09:00:00,TV,30,8000,Centre Funding,500,3900.0
2025-12-07T09:00:00,Online,10,2000,Eco Project,50,1650.0
2025-12-07T09:00:00,Radio,15,4000,Eco Project,100,1650.0
2025-12-07T09:15:00,Online,10,2000,Centre Funding,60,3900.0
2025-12-07T09:30:00,Online,10,2000,Centre Funding,60,3900.0
2025-12-07T09:30:00,Radio,15,4500,Centre Funding,120,3900.0
2025-12-07T09:45:00,Online,10,2000,Centre Funding,60,3900.0
2025-12-08T08:00:00,TV,30,8000,Centre Funding,500,3900.0
2025-12-08T08:00:00,Online,10,2000,Eco Project,50,1650.0
2025-12-08T08:00:00,Radio,15,4000,Eco Project,100,1650.0
2025-12-08T08:15:00,Online,10,2000,Eco Project,50,1650.0
2025-12-08T08:30:00,Online,10,2000,Eco Project,50,1650.0
2025-12-08T08:30:00,Radio,15,4500,Eco Project,100,1650.0
2025-12-08T08:45:00,Online,10,2000,Eco Project,50,1650.0
2025-12-08T09:00:00,TV,30,8000,Centre Funding,500,3900.0
2025-12-08T09:00:00,Online,10,2000,Eco Project,50,1650.0
2025-12-08T09:00:00,Radio,15,4000,Eco Project,100,1650.0
2025-12-08T09:15:00,Online,10,2000,Centre Funding,60,3900.0
2025-12-08T09:30:00,Online,10,2000,Centre Funding,60,3900.0
2025-12-08T09:30:00,Radio,15,4500,Centre Funding,120,3900.0
2025-12-08T09:45:00,Online,10,2000,Centre Funding,60,3900.0
2025-12-08T10:00:00,TV,30,8000,Local Business,300,2080.0
2025-12-08T10:00:00,Online,10,2000,Local Business,40,2080.0
2025-12-08T10:00:00,Radio,15,4000,Local Business,80,2080.0
2025-12-08T10:15:00,Online,10,2000,Local Business,40,2080.0
2025-12-08T10:30:00,Online,10,2000,Local Business,40,2080.0
2025-12-08T10:30:00,Radio,15,4500,Local Business,80,2080.0
2025-12-08T10:45:00,Online,10,2000,Local Business,40,2080.0
2025-12-08T11:00:00,TV,30,8000,Local Business,300,2080.0
2025-12-08T11:00:00,Online,10,2000,Local Business,40,2080.0
2025-12-08T11:00:00,Radio,15,4000,Local Business,80,2080.0
2025-12-09T08:00:00,TV,30,8000,Centre Funding,500,3900.0
2025-12-09T08:00:00,Online,10,2000,Eco Project,50,1650.0
2025-12-09T08:00:00,Radio,15,4000,Eco Project,100,1650.0
2025-12-09T08:15:00,Online,10,2000,Eco Project,50,1650.0
2025-12-09T08:30:00,Online,10,2000,Eco Project,50,1650.0
2025-12-09T08:30:00,Radio,15,4500,Eco Project,100,1650.0
2025-12-09T08:45:00,Online,10,2000,Eco Project,50,1650.0
2025-12-09T09:00:00,TV,30,8000,Centre Funding,500,3900.0
2025-12-09T09:00:00,Online,10,2000,Eco Project,50,1650.0
2025-12-09T09:00:00,Radio,15,4000,Eco Project,100,1650.0
2025-12-09T09:15:00,Online,10,2000,Centre Funding,60,3900.0
2025-12-09T09:30:00,Online,10,2000,Centre Funding,60,3900.0
2025-12-09T09:30:00,Radio,15,4500,Centre Funding,120,3900.0
2025-12-09T09:45:00,Online,10,2000,Centre Funding,60,3900.0
2025-12-09T10:00:00,TV,30,8000,Local Business,300,2080.0
2025-12-09T10:00:00,Online,10,2000,Local Business,40,2080.0
2025-12-09T10:00:00,Radio,15,4000,Local Business,80,2080.0
2025-12-09T10:15:00,Online,10,2000,Local Business,40,2080.0
2025-12-09T10:30:00,Online,10,2000,Local Business,40,2080.0
2025-12-09T10:30:00,Radio,15,4500,Local Business,80,2080.0
2025-12-09T10:45:00,Online,10,2000,Local Business,40,2080.0
2025-12-09T11:00:00,TV,30,8000,Local Business,300,2080.0
2025-12-09T11:00:00,Online,10,2000,Local Business,40,2080.0
2025-12-09T11:00:00,Radio,15,4000,Local Business,80,2080.0
